eventID,parentEventID,eventDate,year,month,day,decimalLatitude,decimalLongitude,footprintWKT,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol,locality,locationID,type
IYS,,,,,,,,,,,,,,,project
IYS:GoA2019,IYS,,,,,,,,,,,,,,cruise
IYS:GoA2019:Stn1,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn2,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn3,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn4,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn5,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn6,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn7,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn8,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn9,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn10,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn11,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn12,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn13,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn14,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn15,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn16,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn17,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn18,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn19,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn20,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn21,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn22,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn23,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn24,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn25,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn26,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn27,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn28,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn29,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn30,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn31,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn32,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn33,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn34,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn35,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn36,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn37,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn38,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn39,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn40,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn41,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn42,IYS:GoA2019,,,,,,,,,,,,,,station
IYS:GoA2019:Stn43,IYS:GoA2019,,,,,,,,,,,,,,station
