eventID,occurrenceID,occurrenceStatus,specificEpithet,scientificName,scientificNameID,individualCount,scientificNameAuthorship,taxonomicStatus,taxonRank,kingdom,phylum,class,order,family,genus,lifeStage,sex,occurrenceRemarks,basisOfRecord
IYS:GoA2019:Stn1:trawl,IYS:GoA2019:Stn1:trawl:occ:1,present,cucumis,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,10,"(Mertens, 1833)",accepted,Species,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,NA,,NA,HumanObservation
IYS:GoA2019:Stn1:trawl,IYS:GoA2019:Stn1:trawl:occ:2,present,camtshchatica,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,1,"Brandt, 1835",accepted,Species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,NA,,NA,HumanObservation
IYS:GoA2019:Stn1:trawl,IYS:GoA2019:Stn1:trawl:occ:3,present,spinifera,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,280,"Holmes, 1900",accepted,Species,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,NA,,50 = 5g  [size range 2.4-2.6cm],HumanObservation
IYS:GoA2019:Stn1:trawl:sample1,IYS:GoA2019:Stn1:trawl:sample1:occ,present,camtschatica,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,1,"Brandt, 1835",accepted,Species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:4,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,7,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,NA,,NA,HumanObservation
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:5,present,onyx,Gonatus onyx,urn:lsid:marinespecies.org:taxname:341859,1,"Young, 1972",accepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatus,NA,,NA,HumanObservation
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:6,present,cucumis,Hormiphora cucumis,urn:lsid:marinespecies.org:taxname:106382,62,"(Mertens, 1833)",accepted,Species,Animalia,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Hormiphora,NA,,NA,HumanObservation
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:7,present,pacificus,Microstomus pacificus,urn:lsid:marinespecies.org:taxname:274294,1,"(Lockington, 1879)",accepted,Species,Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Microstomus,NA,,NA,HumanObservation
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:8,present,borealijaponica,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,9,"Okada, 1927",accepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,NA,,*weight for samples of head only.  Careful how it is used,HumanObservation
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:9,present,camtshchatica,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,2,"Brandt, 1835",accepted,Species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,NA,,NA,HumanObservation
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10,present,crenularis,Tarletonbeania crenularis,urn:lsid:marinespecies.org:taxname:282927,179,"(Jordan & Gilbert, 1880)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Tarletonbeania,NA,,NA,HumanObservation
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:11,present,spinifera,Thysanoessa spinifera,urn:lsid:marinespecies.org:taxname:237874,58,"Holmes, 1900",accepted,Species,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,NA,,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample2,IYS:GoA2019:Stn2:trawl:sample2:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample3,IYS:GoA2019:Stn2:trawl:sample3:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample4,IYS:GoA2019:Stn2:trawl:sample4:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample5,IYS:GoA2019:Stn2:trawl:sample5:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample6,IYS:GoA2019:Stn2:trawl:sample6:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample7,IYS:GoA2019:Stn2:trawl:sample7:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample8,IYS:GoA2019:Stn2:trawl:sample8:occ,present,borealis,Boreoteuthis borealis,urn:lsid:marinespecies.org:taxname:1468832,1,"(Sasaki, 1923)",unaccepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Boreoteuthis,juvenile,NA,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample9,IYS:GoA2019:Stn2:trawl:sample9:occ,present,onyx,Gonatus onyx,urn:lsid:marinespecies.org:taxname:341859,1,"Young, 1972",accepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Gonatidae,Gonatus,juvenile,NA,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample10,IYS:GoA2019:Stn2:trawl:sample10:occ,present,pacificus,Microstomus pacificus,urn:lsid:marinespecies.org:taxname:274294,1,"(Lockington, 1879)",accepted,Species,Animalia,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Microstomus,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample11,IYS:GoA2019:Stn2:trawl:sample11:occ,present,borealijaponica,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,1,"Okada, 1927",accepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,NA,male,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample12,IYS:GoA2019:Stn2:trawl:sample12:occ,present,borealijaponica,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,1,"Okada, 1927",accepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,juvenile,NA,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample13,IYS:GoA2019:Stn2:trawl:sample13:occ,present,borealijaponica,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,1,"Okada, 1927",accepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,juvenile,NA,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample14,IYS:GoA2019:Stn2:trawl:sample14:occ,present,borealijaponica,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,1,"Okada, 1927",accepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,juvenile,NA,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample15,IYS:GoA2019:Stn2:trawl:sample15:occ,present,borealijaponica,Onychoteuthis borealijaponica,urn:lsid:marinespecies.org:taxname:342069,1,"Okada, 1927",accepted,Species,Animalia,Mollusca,Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,juvenile,NA,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample16,IYS:GoA2019:Stn2:trawl:sample16:occ,present,camtschatica,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,1,"Brandt, 1835",accepted,Species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,NA,unknown,NA,HumanObservation
IYS:GoA2019:Stn2:trawl:sample17,IYS:GoA2019:Stn2:trawl:sample17:occ,present,camtschatica,Phacellophora camtschatica,urn:lsid:marinespecies.org:taxname:135309,1,"Brandt, 1835",accepted,Species,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Phacellophoridae,Phacellophora,NA,unknown,NA,HumanObservation
