eventID,occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
IYS:GoA2019:Stn1:trawl,IYS:GoA2019:Stn1:trawl:occ:1,IYS:GoA2019:Stn1:trawl:occ:1:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,10,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn1:trawl,IYS:GoA2019:Stn1:trawl:occ:1,IYS:GoA2019:Stn1:trawl:occ:1:length_min,length_min,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,0,NA,centimeters,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
IYS:GoA2019:Stn1:trawl,IYS:GoA2019:Stn1:trawl:occ:1,IYS:GoA2019:Stn1:trawl:occ:1:length_max,length_max,http://vocab.nerc.ac.uk/collection/P01/current/OBSMAXLX/,0,NA,centimeters,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
IYS:GoA2019:Stn1:trawl,IYS:GoA2019:Stn1:trawl:occ:2,IYS:GoA2019:Stn1:trawl:occ:2:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn1:trawl,IYS:GoA2019:Stn1:trawl:occ:2,IYS:GoA2019:Stn1:trawl:occ:2:length_min,length_min,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,25,NA,centimeters,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
IYS:GoA2019:Stn1:trawl,IYS:GoA2019:Stn1:trawl:occ:2,IYS:GoA2019:Stn1:trawl:occ:2:length_max,length_max,http://vocab.nerc.ac.uk/collection/P01/current/OBSMAXLX/,25,NA,centimeters,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
IYS:GoA2019:Stn1:trawl,IYS:GoA2019:Stn1:trawl:occ:3,IYS:GoA2019:Stn1:trawl:occ:3:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,280,NA,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/
IYS:GoA2019:Stn1:trawl,IYS:GoA2019:Stn1:trawl:occ:3,IYS:GoA2019:Stn1:trawl:occ:3:biomass,Total species biomass in net,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.168,NA,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/
IYS:GoA2019:Stn1:trawl,IYS:GoA2019:Stn1:trawl:occ:3,IYS:GoA2019:Stn1:trawl:occ:3:length_min,length_min,http://vocab.nerc.ac.uk/collection/P01/current/OBSMINLX/,2.4,NA,centimeters,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
IYS:GoA2019:Stn1:trawl,IYS:GoA2019:Stn1:trawl:occ:3,IYS:GoA2019:Stn1:trawl:occ:3:length_max,length_max,http://vocab.nerc.ac.uk/collection/P01/current/OBSMAXLX/,2.6,NA,centimeters,http://vocab.nerc.ac.uk/collection/P06/current/ULCM/
