eventID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementID
IYS:GoA2019,Research Vessel,http://vocab.nerc.ac.uk/collection/L06/current/31/,R/V Prof. Kaganovskiy,http://vocab.nerc.ac.uk/collection/C17/current/90ZH/,NA,NA,NA
IYS:GoA2019:Stn1:trawl,bottom_depth_trawl_start,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,2300,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn1:trawl:bottom_depth_trawl_start
IYS:GoA2019:Stn1:trawl,bottom_depth_trawl_finish,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,2300,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn1:trawl:bottom_depth_trawl_finish
IYS:GoA2019:Stn2:trawl,bottom_depth_trawl_start,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,2570,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn2:trawl:bottom_depth_trawl_start
IYS:GoA2019:Stn2:trawl,bottom_depth_trawl_finish,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,2600,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn2:trawl:bottom_depth_trawl_finish
IYS:GoA2019:Stn3:trawl,bottom_depth_trawl_start,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4000,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn3:trawl:bottom_depth_trawl_start
IYS:GoA2019:Stn3:trawl,bottom_depth_trawl_finish,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4000,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn3:trawl:bottom_depth_trawl_finish
IYS:GoA2019:Stn4:trawl,bottom_depth_trawl_start,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4110,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn4:trawl:bottom_depth_trawl_start
IYS:GoA2019:Stn4:trawl,bottom_depth_trawl_finish,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4110,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn4:trawl:bottom_depth_trawl_finish
IYS:GoA2019:Stn5:trawl,bottom_depth_trawl_start,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4000,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn5:trawl:bottom_depth_trawl_start
IYS:GoA2019:Stn5:trawl,bottom_depth_trawl_finish,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4000,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn5:trawl:bottom_depth_trawl_finish
IYS:GoA2019:Stn6:trawl,bottom_depth_trawl_start,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4250,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn6:trawl:bottom_depth_trawl_start
IYS:GoA2019:Stn6:trawl,bottom_depth_trawl_finish,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4250,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn6:trawl:bottom_depth_trawl_finish
IYS:GoA2019:Stn7:trawl,bottom_depth_trawl_start,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4000,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn7:trawl:bottom_depth_trawl_start
IYS:GoA2019:Stn7:trawl,bottom_depth_trawl_finish,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4000,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn7:trawl:bottom_depth_trawl_finish
IYS:GoA2019:Stn8:trawl,bottom_depth_trawl_start,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4510,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn8:trawl:bottom_depth_trawl_start
IYS:GoA2019:Stn8:trawl,bottom_depth_trawl_finish,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4510,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn8:trawl:bottom_depth_trawl_finish
IYS:GoA2019:Stn9:trawl,bottom_depth_trawl_start,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4500,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn9:trawl:bottom_depth_trawl_start
IYS:GoA2019:Stn9:trawl,bottom_depth_trawl_finish,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4500,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn9:trawl:bottom_depth_trawl_finish
IYS:GoA2019:Stn10:trawl,bottom_depth_trawl_start,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4500,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn10:trawl:bottom_depth_trawl_start
IYS:GoA2019:Stn10:trawl,bottom_depth_trawl_finish,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4500,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn10:trawl:bottom_depth_trawl_finish
IYS:GoA2019:Stn11:trawl,bottom_depth_trawl_start,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4520,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn11:trawl:bottom_depth_trawl_start
IYS:GoA2019:Stn11:trawl,bottom_depth_trawl_finish,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4520,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn11:trawl:bottom_depth_trawl_finish
IYS:GoA2019:Stn12:trawl,bottom_depth_trawl_start,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4770,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn12:trawl:bottom_depth_trawl_start
IYS:GoA2019:Stn12:trawl,bottom_depth_trawl_finish,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4770,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn12:trawl:bottom_depth_trawl_finish
IYS:GoA2019:Stn13:trawl,bottom_depth_trawl_start,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4520,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn13:trawl:bottom_depth_trawl_start
IYS:GoA2019:Stn13:trawl,bottom_depth_trawl_finish,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4500,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn13:trawl:bottom_depth_trawl_finish
IYS:GoA2019:Stn14:trawl,bottom_depth_trawl_start,http://vocab.nerc.ac.uk/collection/P09/current/BATH/,4200,NA,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,IYS:GoA2019:Stn14:trawl:bottom_depth_trawl_start
