eventID,resourceRelationshipID,resourceID,relationshipOfResource,relatedResourceID
IYS:GoA2019:Stn1:trawl,IYS:GoA2019:Stn1:trawl:occ:2:rr:001,IYS:GoA2019:Stn1:trawl:sample1:occ,is a subset of,IYS:GoA2019:Stn1:trawl:occ:2
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:4:rr:002,IYS:GoA2019:Stn2:trawl:sample2:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:4
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:4:rr:003,IYS:GoA2019:Stn2:trawl:sample3:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:4
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:4:rr:004,IYS:GoA2019:Stn2:trawl:sample4:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:4
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:4:rr:005,IYS:GoA2019:Stn2:trawl:sample5:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:4
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:4:rr:006,IYS:GoA2019:Stn2:trawl:sample6:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:4
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:4:rr:007,IYS:GoA2019:Stn2:trawl:sample7:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:4
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:4:rr:008,IYS:GoA2019:Stn2:trawl:sample8:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:4
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:5:rr:009,IYS:GoA2019:Stn2:trawl:sample9:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:5
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:7:rr:010,IYS:GoA2019:Stn2:trawl:sample10:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:7
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:8:rr:011,IYS:GoA2019:Stn2:trawl:sample11:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:8
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:8:rr:012,IYS:GoA2019:Stn2:trawl:sample12:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:8
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:8:rr:013,IYS:GoA2019:Stn2:trawl:sample13:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:8
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:8:rr:014,IYS:GoA2019:Stn2:trawl:sample14:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:8
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:8:rr:015,IYS:GoA2019:Stn2:trawl:sample15:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:8
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:9:rr:016,IYS:GoA2019:Stn2:trawl:sample16:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:9
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:9:rr:017,IYS:GoA2019:Stn2:trawl:sample17:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:9
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10:rr:018,IYS:GoA2019:Stn2:trawl:sample18:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:10
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10:rr:019,IYS:GoA2019:Stn2:trawl:sample19:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:10
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10:rr:020,IYS:GoA2019:Stn2:trawl:sample20:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:10
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10:rr:021,IYS:GoA2019:Stn2:trawl:sample21:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:10
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10:rr:022,IYS:GoA2019:Stn2:trawl:sample22:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:10
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10:rr:023,IYS:GoA2019:Stn2:trawl:sample23:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:10
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10:rr:024,IYS:GoA2019:Stn2:trawl:sample24:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:10
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10:rr:025,IYS:GoA2019:Stn2:trawl:sample25:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:10
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10:rr:026,IYS:GoA2019:Stn2:trawl:sample26:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:10
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10:rr:027,IYS:GoA2019:Stn2:trawl:sample27:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:10
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10:rr:028,IYS:GoA2019:Stn2:trawl:sample28:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:10
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10:rr:029,IYS:GoA2019:Stn2:trawl:sample29:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:10
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10:rr:030,IYS:GoA2019:Stn2:trawl:sample30:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:10
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10:rr:031,IYS:GoA2019:Stn2:trawl:sample31:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:10
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10:rr:032,IYS:GoA2019:Stn2:trawl:sample32:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:10
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10:rr:033,IYS:GoA2019:Stn2:trawl:sample33:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:10
IYS:GoA2019:Stn2:trawl,IYS:GoA2019:Stn2:trawl:occ:10:rr:034,IYS:GoA2019:Stn2:trawl:sample34:occ,is a subset of,IYS:GoA2019:Stn2:trawl:occ:10
